Message,Intent,Response
How do I use WhatsEye?!,usage,"You can upload your WhatsApp chat, and I will analyze it for you."
How do I start using WhatsEye?!,usage,"Simply upload your chat, and I will process it for analysis!"
Does WhatsEye store my data?!,privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
Is my chat private?!,privacy,"Yes, your data remains private. I only analyze it temporarily."
Can I use this for business chat analysis?!,business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
Can WhatsEye track customer engagement?!,business_usage,Yes! WhatsEye can help businesses track customer interactions.
How accurate is your sentiment analysis?!,accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
How precise is WhatsEye’s analysis?!,accuracy,"I try to be as accurate as possible, but results depend on data quality."
Can you detect sarcasm?!,sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
Can WhatsEye detect sarcasm?!,sarcasm_detection,"Sarcasm is hard to detect, but I do my best!"
What languages do you support?!,languages,I support English and Roman Urdu for now.
Which languages can WhatsEye analyze?!,languages,"Currently, I analyze English and Roman Urdu chats."
Bye!!!,farewell,Goodbye! Have a great day.
"Can you tell me, bye!?",farewell,Goodbye! Have a great day.
See you later!!!,farewell,See you soon! Take care.
"Can you tell me, see you later!?",farewell,See you soon! Take care.
Goodnight!!!,farewell,Goodnight! Sleep well.
Hey! How's it going?!!,greeting,Hey! I'm doing well. How about you?
"Can you tell me, hey! how's it going??",greeting,Hey! I'm doing well. How about you?
Hello!!!,greeting,Hi there! How can I assist you today?
"Can you tell me, hello!?",greeting,Hi there! How can I assist you today?
Good morning!!!,greeting,Good morning! Hope you have a great day ahead.
"Can you tell me, good morning!?",greeting,Good morning! Hope you have a great day ahead.
What's your name?!!,ask_name,"I'm WhatsEye, your chat assistant."
"Can you tell me, what's your name??",ask_name,"I'm WhatsEye, your chat assistant."
Who created you?!!,ask_name,I was created by a talented developer.
"Can you tell me, who created you??",ask_name,I was created by a talented developer.
Tell me about yourself.!!,ask_name,I'm a chatbot designed for WhatsApp chat analysis.
"Can you tell me, tell me about yourself.?",ask_name,I'm a chatbot designed for WhatsApp chat analysis.
Tell me a joke!!!,funny,Sure! Why did the computer go to therapy? It had too many bugs!
"Can you tell me, tell me a joke!?",funny,Sure! Why did the computer go to therapy? It had too many bugs!
Make me laugh!!!,funny,Why don’t skeletons fight each other? They don’t have the guts!
"Can you tell me, make me laugh!?",funny,Why don’t skeletons fight each other? They don’t have the guts!
Tell me another joke!!!,funny,Why did the smartphone need glasses? Because it lost all its contacts!
"Can you tell me, tell me another joke!?",funny,Why did the smartphone need glasses? Because it lost all its contacts!
Thanks!!!,gratitude,You're welcome! Happy to help.
"Can you tell me, thanks!?",gratitude,You're welcome! Happy to help.
Thank you so much!!!,gratitude,Anytime! Let me know if you need help.
"Can you tell me, thank you so much!?",gratitude,Anytime! Let me know if you need help.
Shukriya!!!,gratitude,Koi baat nahi! Hamesha madad ke liye tayar hoon.
"Can you tell me, shukriya!?",gratitude,Koi baat nahi! Hamesha madad ke liye tayar hoon.
What can you do?!!,ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
"Can you tell me, what can you do??",ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
How does WhatsEye analyze my chats?!!,ask_capabilities,"WhatsEye processes your chat history to determine sentiment trends, engagement levels, and key communication patterns."
"Can you tell me, how does whatseye analyze my chats??",ask_capabilities,"WhatsEye processes your chat history to determine sentiment trends, engagement levels, and key communication patterns."
I need help with something.!!,help_request,Of course! What do you need help with?
"Can you tell me, i need help with something.?",help_request,Of course! What do you need help with?
Madad chahiye!!!,help_request,Main yahaan hoon! Aapko kis tarah ki madad chahiye?
"Can you tell me, madad chahiye!?",help_request,Main yahaan hoon! Aapko kis tarah ki madad chahiye?
Can you analyze my WhatsApp chat?!!,chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
"Can you tell me, can you analyze my whatsapp chat??",chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
Mera message analysis kar do.!!,chat_analysis,Bilkul! Apna WhatsApp chat upload karein aur main analysis karonga.
"Can you tell me, mera message analysis kar do.?",chat_analysis,Bilkul! Apna WhatsApp chat upload karein aur main analysis karonga.
Is my conversation positive or negative?!!,sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
"Can you tell me, is my conversation positive or negative??",sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
Can you check if my messages are positive?!!,sentiment_query,"Yes, upload your chat and I’ll analyze its sentiment!"
"Can you tell me, can you check if my messages are positive??",sentiment_query,"Yes, upload your chat and I’ll analyze its sentiment!"
Do you understand Roman Urdu?!!,language_query,Yes! I can analyze both English and Roman Urdu messages.
"Can you tell me, do you understand roman urdu??",language_query,Yes! I can analyze both English and Roman Urdu messages.
Do you analyze both English and Urdu?!!,language_query,Yes! I support English and Roman Urdu analysis.
"Can you tell me, do you analyze both english and urdu??",language_query,Yes! I support English and Roman Urdu analysis.
How do I use WhatsEye?!!,usage,"You can upload your WhatsApp chat, and I will analyze it for you."
"Can you tell me, how do i use whatseye??",usage,"You can upload your WhatsApp chat, and I will analyze it for you."
How do I start using WhatsEye?!!,usage,"Simply upload your chat, and I will process it for analysis!"
"Can you tell me, how do i start using whatseye??",usage,"Simply upload your chat, and I will process it for analysis!"
Does WhatsEye store my data?!!,privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
"Can you tell me, does whatseye store my data??",privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
Is my chat private?!!,privacy,"Yes, your data remains private. I only analyze it temporarily."
"Can you tell me, is my chat private??",privacy,"Yes, your data remains private. I only analyze it temporarily."
Can I use this for business chat analysis?!!,business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
"Can you tell me, can i use this for business chat analysis??",business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
Can WhatsEye track customer engagement?!!,business_usage,Yes! WhatsEye can help businesses track customer interactions.
"Can you tell me, can whatseye track customer engagement??",business_usage,Yes! WhatsEye can help businesses track customer interactions.
How accurate is your sentiment analysis?!!,accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
"Can you tell me, how accurate is your sentiment analysis??",accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
How precise is WhatsEye’s analysis?!!,accuracy,"I try to be as accurate as possible, but results depend on data quality."
"Can you tell me, how precise is whatseye’s analysis??",accuracy,"I try to be as accurate as possible, but results depend on data quality."
Can you detect sarcasm?!!,sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
"Can you tell me, can you detect sarcasm??",sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
Can WhatsEye detect sarcasm?!!,sarcasm_detection,"Sarcasm is hard to detect, but I do my best!"
"Can you tell me, can whatseye detect sarcasm??",sarcasm_detection,"Sarcasm is hard to detect, but I do my best!"
What languages do you support?!!,languages,I support English and Roman Urdu for now.
"Can you tell me, what languages do you support??",languages,I support English and Roman Urdu for now.
Which languages can WhatsEye analyze?!!,languages,"Currently, I analyze English and Roman Urdu chats."
"Can you tell me, which languages can whatseye analyze??",languages,"Currently, I analyze English and Roman Urdu chats."
Hey! How's it going?!!,greeting,Hey! I'm doing well. How about you?
"Can you tell me, hey! how's it going??",greeting,Hey! I'm doing well. How about you?
Hello!!!,greeting,Hi there! How can I assist you today?
"Can you tell me, hello!?",greeting,Hi there! How can I assist you today?
What's your name?!!,ask_name,"I'm WhatsEye, your chat assistant."
"Can you tell me, what's your name??",ask_name,"I'm WhatsEye, your chat assistant."
Who created you?!!,ask_name,I was created by a talented developer.
"Can you tell me, who created you??",ask_name,I was created by a talented developer.
Tell me a joke!!!,funny,Sure! Why did the computer go to therapy? It had too many bugs!
"Can you tell me, tell me a joke!?",funny,Sure! Why did the computer go to therapy? It had too many bugs!
Make me laugh!!!,funny,Why don’t skeletons fight each other? They don’t have the guts!
"Can you tell me, make me laugh!?",funny,Why don’t skeletons fight each other? They don’t have the guts!
Thanks!!!,gratitude,You're welcome! Happy to help.
"Can you tell me, thanks!?",gratitude,You're welcome! Happy to help.
Thank you so much!!!,gratitude,Anytime! Let me know if you need help.
"Can you tell me, thank you so much!?",gratitude,Anytime! Let me know if you need help.
Bye!!!,farewell,Goodbye! Have a great day.
"Can you tell me, bye!?",farewell,Goodbye! Have a great day.
See you later!!!,farewell,See you soon! Take care.
"Can you tell me, see you later!?",farewell,See you soon! Take care.
Goodnight!!!,farewell,Goodnight! Sleep well.
What can you do?!!,ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
"Can you tell me, what can you do??",ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
How does WhatsEye analyze my chats?!!,ask_capabilities,"WhatsEye processes your chat history to determine sentiment trends, engagement levels, and key communication patterns."
"Can you tell me, how does whatseye analyze my chats??",ask_capabilities,"WhatsEye processes your chat history to determine sentiment trends, engagement levels, and key communication patterns."
What can you do?!!!,ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
"Can you tell me, what can you do?!?",ask_capabilities,"I can analyze WhatsApp chats for sentiment, engagement, and communication patterns."
How does WhatsEye analyze my chats?!!!,ask_capabilities,"WhatsEye processes your chat history to determine sentiment trends, engagement levels, and key communication patterns."
I need help with something.!!,help_request,Of course! What do you need help with?
"Can you tell me, i need help with something.?",help_request,Of course! What do you need help with?
Madad chahiye!!!,help_request,Main yahaan hoon! Aapko kis tarah ki madad chahiye?
"Can you tell me, madad chahiye!?",help_request,Main yahaan hoon! Aapko kis tarah ki madad chahiye?
I need help with something.!!!,help_request,Of course! What do you need help with?
"Can you tell me, i need help with something.!?",help_request,Of course! What do you need help with?
Madad chahiye!!!!,help_request,Main yahaan hoon! Aapko kis tarah ki madad chahiye?
Can you analyze my WhatsApp chat?!!,chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
"Can you tell me, can you analyze my whatsapp chat??",chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
Mera message analysis kar do.!!,chat_analysis,Bilkul! Apna WhatsApp chat upload karein aur main analysis karonga.
"Can you tell me, mera message analysis kar do.?",chat_analysis,Bilkul! Apna WhatsApp chat upload karein aur main analysis karonga.
Can you analyze my WhatsApp chat?!!!,chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
"Can you tell me, can you analyze my whatsapp chat?!?",chat_analysis,"Yes! Upload your chat, and I'll analyze it for sentiment and patterns."
Mera message analysis kar do.!!!,chat_analysis,Bilkul! Apna WhatsApp chat upload karein aur main analysis karonga.
Is my conversation positive or negative?!!,sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
"Can you tell me, is my conversation positive or negative??",sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
Can you check if my messages are positive?!!,sentiment_query,"Yes, upload your chat and I’ll analyze its sentiment!"
"Can you tell me, can you check if my messages are positive??",sentiment_query,"Yes, upload your chat and I’ll analyze its sentiment!"
Is my conversation positive or negative?!!!,sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
"Can you tell me, is my conversation positive or negative?!?",sentiment_query,"I can analyze your chat for sentiment. Upload it, and I'll check!"
Can you check if my messages are positive?!!!,sentiment_query,"Yes, upload your chat and I’ll analyze its sentiment!"
Do you understand Roman Urdu?!!,language_query,Yes! I can analyze both English and Roman Urdu messages.
"Can you tell me, do you understand roman urdu??",language_query,Yes! I can analyze both English and Roman Urdu messages.
Do you analyze both English and Urdu?!!,language_query,Yes! I support English and Roman Urdu analysis.
"Can you tell me, do you analyze both english and urdu??",language_query,Yes! I support English and Roman Urdu analysis.
Do you understand Roman Urdu?!!!,language_query,Yes! I can analyze both English and Roman Urdu messages.
"Can you tell me, do you understand roman urdu?!?",language_query,Yes! I can analyze both English and Roman Urdu messages.
Do you analyze both English and Urdu?!!!,language_query,Yes! I support English and Roman Urdu analysis.
How do I use WhatsEye?!!,usage,"You can upload your WhatsApp chat, and I will analyze it for you."
"Can you tell me, how do i use whatseye??",usage,"You can upload your WhatsApp chat, and I will analyze it for you."
How do I start using WhatsEye?!!,usage,"Simply upload your chat, and I will process it for analysis!"
"Can you tell me, how do i start using whatseye??",usage,"Simply upload your chat, and I will process it for analysis!"
How do I use WhatsEye?!!!,usage,"You can upload your WhatsApp chat, and I will analyze it for you."
"Can you tell me, how do i use whatseye?!?",usage,"You can upload your WhatsApp chat, and I will analyze it for you."
How do I start using WhatsEye?!!!,usage,"Simply upload your chat, and I will process it for analysis!"
Does WhatsEye store my data?!!,privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
"Can you tell me, does whatseye store my data??",privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
Is my chat private?!!,privacy,"Yes, your data remains private. I only analyze it temporarily."
"Can you tell me, is my chat private??",privacy,"Yes, your data remains private. I only analyze it temporarily."
Does WhatsEye store my data?!!!,privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
"Can you tell me, does whatseye store my data?!?",privacy,"No, WhatsEye does not store any personal data. Your privacy is important!"
Is my chat private?!!!,privacy,"Yes, your data remains private. I only analyze it temporarily."
Can I use this for business chat analysis?!!,business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
"Can you tell me, can i use this for business chat analysis??",business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
Can WhatsEye track customer engagement?!!,business_usage,Yes! WhatsEye can help businesses track customer interactions.
"Can you tell me, can whatseye track customer engagement??",business_usage,Yes! WhatsEye can help businesses track customer interactions.
Can I use this for business chat analysis?!!!,business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
"Can you tell me, can i use this for business chat analysis?!?",business_usage,Yes! WhatsEye can help analyze customer engagement and sentiment.
Can WhatsEye track customer engagement?!!!,business_usage,Yes! WhatsEye can help businesses track customer interactions.
How accurate is your sentiment analysis?!!,accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
"Can you tell me, how accurate is your sentiment analysis??",accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
How precise is WhatsEye’s analysis?!!,accuracy,"I try to be as accurate as possible, but results depend on data quality."
"Can you tell me, how precise is whatseye’s analysis??",accuracy,"I try to be as accurate as possible, but results depend on data quality."
How accurate is your sentiment analysis?!!!,accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
"Can you tell me, how accurate is your sentiment analysis?!?",accuracy,"I use machine learning to analyze sentiment, so accuracy depends on the data quality."
How precise is WhatsEye’s analysis?!!!,accuracy,"I try to be as accurate as possible, but results depend on data quality."
Can you detect sarcasm?!!,sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
"Can you tell me, can you detect sarcasm??",sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
Can WhatsEye detect sarcasm?!!,sarcasm_detection,"Sarcasm is hard to detect, but I do my best!"
"Can you tell me, can whatseye detect sarcasm??",sarcasm_detection,"Sarcasm is hard to detect, but I do my best!"
Can you detect sarcasm?!!!,sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
"Can you tell me, can you detect sarcasm?!?",sarcasm_detection,"Detecting sarcasm is tricky, but I try my best!"
Can WhatsEye detect sarcasm?!!!,sarcasm_detection,"Sarcasm is hard to detect, but I do my best!"
What languages do you support?!!,languages,I support English and Roman Urdu for now.
"Can you tell me, what languages do you support??",languages,I support English and Roman Urdu for now.
Which languages can WhatsEye analyze?!!,languages,"Currently, I analyze English and Roman Urdu chats."
"Can you tell me, which languages can whatseye analyze??",languages,"Currently, I analyze English and Roman Urdu chats."
What languages do you support?!!!,languages,I support English and Roman Urdu for now.
"Can you tell me, what languages do you support?!?",languages,I support English and Roman Urdu for now.
Which languages can WhatsEye analyze?!!!,languages,"Currently, I analyze English and Roman Urdu chats."
